time;type;task;text
2026-05-01T12:23:00+01:00;out;;
2026-05-01T13:32:00+01:00;in;Default;
2026-05-01T16:00:00+01:00;out;;
2026-05-05T08:01:00+01:00;in;Default;
2026-05-05T12:04:00+01:00;out;;
2026-05-05T13:04:00+01:00;in;Default;
2026-05-05T17:31:00+01:00;out;;
2026-05-06T14:35:00+01:00;in;Default;
2026-05-06T15:21:00+01:00;out;;
2026-05-07T07:41:00+01:00;in;Default;
2026-05-07T12:02:00+01:00;out;;
2026-05-07T13:04:00+01:00;in;Default;
2026-05-07T17:28:00+01:00;out;;
2026-05-07T19:57:00+01:00;in;Default;
2026-05-07T20:30:00+01:00;out;;
2026-05-08T07:30:00+01:00;in;Default;
2026-05-08T12:07:00+01:00;out;;
2026-05-08T16:05:00+01:00;in;Default;
2026-05-08T16:45:00+01:00;out;;
2026-05-11T08:00:00+01:00;in;Default;
2026-05-11T12:10:00+01:00;out;;
2026-05-11T13:00:00+01:00;in;Default;
2026-05-11T17:18:00+01:00;out;;
2026-05-12T08:00:00+01:00;in;Default;
2026-05-12T12:07:00+01:00;out;;
2026-05-12T13:00:00+01:00;in;Default;
2026-05-12T15:51:00+01:00;out;;
2026-05-14T07:41:00+01:00;in;Default;
2026-05-14T16:35:00+01:00;out;;
2026-05-15T07:45:00+01:00;in;Default;
2026-05-15T12:47:00+01:00;out;;
2026-05-15T14:16:00+01:00;in;Default;
2026-05-15T15:15:00+01:00;out;;
2026-05-18T07:32:00+01:00;in;Default;
2026-05-18T11:52:00+01:00;out;;
2026-05-18T13:00:00+01:00;in;Default;
2026-05-18T17:30:00+01:00;out;;
2026-05-19T07:57:00+01:00;in;Default;
2026-05-19T12:10:00+01:00;out;;
2026-05-19T13:01:00+01:00;in;Default;
2026-05-19T15:54:00+01:00;out;;
2026-05-21T07:15:00+01:00;in;Default;
2026-05-21T07:34:00+01:00;out;;
2026-05-21T08:50:00+01:00;in;Default;
2026-05-21T11:50:00+01:00;out;;
2026-05-21T12:51:00+01:00;in;Default;
2026-05-21T16:17:00+01:00;out;;
2026-05-22T07:22:00+01:00;in;Default;
2026-05-22T12:04:00+01:00;out;;
2026-05-26T07:52:00+01:00;in;Default;
2026-05-26T12:00:00+01:00;out;;
2026-05-26T13:00:00+01:00;in;Default;
2026-05-26T15:54:00+01:00;out;;
2026-05-28T08:41:00+01:00;in;Default;
2026-05-28T12:01:00+01:00;out;;
2026-05-28T13:00:00+01:00;in;Default;
2026-05-28T16:50:00+01:00;out;;
2026-05-29T07:21:00+01:00;in;Default;
2026-05-29T11:33:00+01:00;out;;
2026-06-01T08:00:00+01:00;in;Default;
2026-06-01T12:14:00+01:00;out;;
2026-06-01T13:14:00+01:00;in;Default;
2026-06-01T16:16:00+01:00;out;;
2026-06-15T08:00:00+01:00;in;Default;
2026-06-15T12:00:00+01:00;out;;
2026-06-15T13:01:00+01:00;in;Default;
2026-06-15T17:06:00+01:00;out;;
2026-06-16T07:40:00+01:00;in;Default;
2026-06-16T12:10:00+01:00;out;;
2026-06-16T13:00:00+01:00;in;Default;
2026-06-16T17:47:00+01:00;out;;
2026-06-18T07:38:00+01:00;in;Default;
2026-06-20T22:12:00+01:00;out;;
